,est_tax,num_units,tax_rate
0,25027083.3837918,2,0.25
1,24917049.101396397,3,0.25
2,24743389.6091109,4,0.25
3,24717833.865857698,5,0.25
4,24670496.1996201,6,0.25
5,24651485.1964977,7,0.25
6,24567862.382606998,8,0.25
7,24557099.899752,9,0.25
8,24524414.55093,10,0.25
9,24514469.9208924,11,0.25
10,24448316.8458756,12,0.25
11,24443051.6187399,13,0.25
12,24414205.288301103,14,0.25
13,24406107.298974298,15,0.25
14,24319751.4376557,16,0.25
15,24312951.6578421,17,0.25
16,24296302.1687751,18,0.25
17,24290022.535683002,19,0.25
18,24243071.743550703,20,0.25
19,25235329.1973721,2,0.275
20,25143633.9620426,3,0.275
21,24998917.71847135,4,0.275
22,24977621.265760347,5,0.275
23,24938173.21056235,6,0.275
24,24922330.707960352,7,0.275
25,24852645.0297181,8,0.275
26,24843676.2940056,9,0.275
27,24816438.5033206,10,0.275
28,24808151.3116226,11,0.275
29,24753023.7491086,12,0.275
30,24748636.05982885,13,0.275
31,24724597.45112985,14,0.275
32,24717849.12669085,15,0.275
33,24645885.908925347,16,0.275
34,24640219.42574735,17,0.275
35,24626344.85152485,18,0.275
36,24621111.8239481,19,0.275
37,24581986.16383785,20,0.275
38,25443575.010952402,2,0.3
39,25370218.8226888,3,0.3
40,25254445.827831797,4,0.3
41,25237408.665662996,5,0.3
42,25205850.2215046,6,0.3
43,25193176.219423,7,0.3
44,25137427.676829197,8,0.3
45,25130252.6882592,9,0.3
46,25108462.4557112,10,0.3
47,25101832.7023528,11,0.3
48,25057730.6523416,12,0.3
49,25054220.5009178,13,0.3
50,25034989.6139586,14,0.3
51,25029590.9544074,15,0.3
52,24972020.380195,16,0.3
53,24967487.1936526,17,0.3
54,24956387.5342746,18,0.3
55,24952201.1122132,19,0.3
56,24920900.584125,20,0.3
57,25651820.824532703,2,0.325
58,25596803.683335,3,0.325
59,25509973.937192246,4,0.325
60,25497196.06556565,5,0.325
61,25473527.23244685,6,0.325
62,25464021.73088565,7,0.325
63,25422210.3239403,8,0.325
64,25416829.0825128,9,0.325
65,25400486.4081018,10,0.325
66,25395514.093082998,11,0.325
67,25362437.5555746,12,0.325
68,25359804.942006752,13,0.325
69,25345381.77678735,14,0.325
70,25341332.78212395,15,0.325
71,25298154.851464648,16,0.325
72,25294754.96155785,17,0.325
73,25286430.21702435,18,0.325
74,25283290.4004783,19,0.325
75,25259815.004412152,20,0.325
76,25860066.638113,2,0.35
77,25823388.5439812,3,0.35
78,25765502.0465527,4,0.35
79,25756983.4654683,5,0.35
80,25741204.2433891,6,0.35
81,25734867.2423483,7,0.35
82,25706992.9710514,8,0.35
83,25703405.476766396,9,0.35
84,25692510.3604924,10,0.35
85,25689195.4838132,11,0.35
86,25667144.4588076,12,0.35
87,25665389.3830957,13,0.35
88,25655773.9396161,14,0.35
89,25653074.609840497,15,0.35
90,25624289.322734296,16,0.35
91,25622022.7294631,17,0.35
92,25616472.8997741,18,0.35
93,25614379.6887434,19,0.35
94,25598729.424699303,20,0.35
95,26068312.4516933,2,0.375
96,26049973.404627398,3,0.375
97,26021030.155913148,4,0.375
98,26016770.865370948,5,0.375
99,26008881.25433135,6,0.375
100,26005712.75381095,7,0.375
101,25991775.618162498,8,0.375
102,25989981.871019997,9,0.375
103,25984534.312883,10,0.375
104,25982876.8745434,11,0.375
105,25971851.3620406,12,0.375
106,25970973.82418465,13,0.375
107,25966166.10244485,14,0.375
108,25964816.43755705,15,0.375
109,25950423.79400395,16,0.375
110,25949290.49736835,17,0.375
111,25946515.58252385,18,0.375
112,25945468.9770085,19,0.375
113,25937643.844986454,20,0.375
114,26276558.2652736,2,0.4
115,26276558.265273597,3,0.4
116,26276558.265273597,4,0.4
117,26276558.265273597,5,0.4
118,26276558.2652736,6,0.4
119,26276558.2652736,7,0.4
120,26276558.265273597,8,0.4
121,26276558.265273597,9,0.4
122,26276558.2652736,10,0.4
123,26276558.2652736,11,0.4
124,26276558.2652736,12,0.4
125,26276558.2652736,13,0.4
126,26276558.2652736,14,0.4
127,26276558.2652736,15,0.4
128,26276558.265273597,16,0.4
129,26276558.2652736,17,0.4
130,26276558.2652736,18,0.4
131,26276558.2652736,19,0.4
132,26276558.2652736,20,0.4
